Serial No. ,No_of_Followers,No_Following,RatioFF,WtAvg,Spam
1,17,4,4.25,0.87,1
2,16000000,655,24427.48092,0.43,0
3,85600,401,213.46633,0.31,0
4,1319,259,5.09266,0.44,0
5,425,74,5.74324,0.77,0
6,1222,995,1.22814,0.34,0
7,4260,1022,4.1683,0.51,0
8,32800,2764,11.86686,0.12,0
9,117,222,0.52703,0.68,1
10,165,423,0.39007,0.77,1
11,7028,2308,3.04506,0.27,0
12,463000,6014,76.98703,0.1,0
13,447,248,1.80242,0.44,1
14,1786,178,10.03371,0.66,1
15,42800,1448,29.55801,0.13,0
16,6167,576,10.7066,0.21,0
17,23,801,0.72784,0.78,1
18,953000,3366,283.12537,0.29,0
19,91000,326,279.1411,0.32,0
20,9590,1921,4.99219,0.89,1
21,2500000,159,15723.27044,0.15,0
22,98,765,0.1281,0.55,1
23,11,212,0.05189,0.68,1
24,180,94,1.91489,0.43,1
25,153000,48600,3.14815,0.65,0
26,350,4915,0.07121,0.55,1
27,68,352,0.19318,0.76,1
28,74,815,0.0908,0.66,1
29,309,965,0.32021,0.66,1
30,28,656,0.04268,0.54,1
31,302,223,1.35426,0.54,1
32,535,479,1.11691,0.33,0
33,0,6,0,0.99,1
34,246,365,0.67397,0.34,0
35,214,844,0.25355,0.43,1
36,4160,4367,0.09526,0.21,0
37,12,334,0.03593,0.43,1
38,41,56,0.73214,0.55,1
39,690,3694,0.18679,0.32,0
40,98,41,2.39024,0.55,1
41,804000,245,3281.63265,0.11,0
42,24000,808,29.70297,0.33,0
43,9590,1299,7.3826,0.37,0
44,77800,45000,1.72889,0.39,0
45,679000,56000,12.125,0.32,0
46,0,0,0,0.99,1
47,608,561,1.08378,0.43,0
48,88000,501,175.6487,0.12,0
49,51000,3000,17,0.43,1
50,500,439,1.13895,0.46,1
